version,team,continent,is_host,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,losses_last_4y,draws_last_4y,world_cup_titles_before,squad_total_market_value_eur,fifa_rank_pre_tournament,fifa_points_pre_tournament,squad_avg_age,world_cup_participations_before,groups_passed_before,round16_before,quarterfinals_before,semifinals_before,finals_before,winner,finalist,semi_finalist,quarter_finalist
2006,Angola,Africa,0,61,49,19,13,14,0,52700000.0,57,581.0,29.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Argentina,South America,0,97,55,31,10,10,2,777200000.0,9,746.0,27.8,13,10,5,6,4,4,0.0,0.0,0.0,1.0
2006,Australia,Oceania,0,101,34,23,8,5,0,48030000.0,42,612.0,27.1,1,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Brazil,South America,0,117,47,30,9,17,5,858500000.0,1,827.0,27.1,17,15,7,11,9,6,0.0,0.0,0.0,1.0
2006,Costa Rica,North America,0,89,84,26,25,11,0,18400000.0,26,683.0,24.7,2,1,1,0,0,0,0.0,0.0,0.0,0.0
2006,Croatia,Europe,0,72,45,22,10,14,0,282300000.0,23,686.0,28.2,2,1,1,1,1,0,0.0,0.0,0.0,0.0
2006,Czech Republic,Europe,0,113,37,33,7,5,0,172800000.0,2,772.0,28.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Ecuador,South America,0,59,73,17,22,12,0,387830000.0,39,631.0,25.7,1,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,England,Europe,0,83,42,27,7,8,1,1620000000.0,10,741.0,27.2,11,9,4,7,2,1,0.0,0.0,0.0,1.0
2006,France,Europe,0,100,23,33,3,13,1,1350000000.0,8,749.0,26.8,11,6,4,5,4,1,0.0,1.0,1.0,1.0
2006,Germany,Europe,1,107,66,26,12,14,3,776500000.0,19,696.0,27.7,15,15,7,13,10,7,0.0,0.0,1.0,1.0
2006,Ghana,Africa,0,58,39,15,13,12,0,191280000.0,48,600.0,26.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Iran,Asia,0,113,44,32,8,10,0,38880000.0,23,686.0,29.2,2,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Italy,Europe,0,71,33,25,5,15,3,838500000.0,13,728.0,26.5,15,10,7,8,7,5,1.0,1.0,1.0,1.0
2006,Ivory Coast,Africa,0,67,34,21,8,8,0,410900000.0,32,669.0,25.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Japan,Asia,0,111,63,36,17,15,0,262200000.0,18,705.0,26.3,2,1,1,0,0,0,0.0,0.0,0.0,0.0
2006,Mexico,North America,0,126,54,37,15,15,0,165800000.0,4,758.0,27.8,12,5,4,2,0,0,0.0,0.0,0.0,0.0
2006,Netherlands,Europe,0,88,30,28,7,12,0,766000000.0,3,768.0,27.0,7,7,5,4,3,2,0.0,0.0,0.0,0.0
2006,Paraguay,South America,0,53,49,18,12,17,0,141850000.0,33,653.0,29.1,6,3,3,0,0,0,0.0,0.0,0.0,0.0
2006,Poland,Europe,0,102,54,32,14,7,0,214500000.0,29,677.0,27.6,6,5,2,2,2,0,0.0,0.0,0.0,0.0
2006,Portugal,Europe,0,104,35,29,6,12,0,864500000.0,7,750.0,27.0,3,1,0,1,1,0,0.0,0.0,1.0,1.0
2006,Saudi Arabia,Asia,0,109,59,31,16,18,0,30350000.0,34,651.0,27.2,3,1,1,0,0,0,0.0,0.0,0.0,0.0
2006,Serbia,Europe,0,46,42,13,13,12,0,294500000.0,44,610.0,26.9,9,7,2,5,2,0,0.0,0.0,0.0,0.0
2006,South Korea,Asia,0,103,45,30,17,17,0,139750000.0,29,677.0,27.9,6,1,1,1,1,0,0.0,0.0,0.0,0.0
2006,Spain,Europe,0,88,23,29,2,14,0,1310000000.0,5,756.0,26.6,11,7,5,4,0,0,0.0,0.0,0.0,0.0
2006,Sweden,Europe,0,103,52,22,12,18,0,363780000.0,16,709.0,26.3,10,7,3,4,3,1,0.0,0.0,0.0,0.0
2006,Switzerland,Europe,0,64,46,17,9,13,0,322100000.0,35,648.0,27.9,7,4,3,3,0,0,0.0,0.0,0.0,0.0
2006,Togo,Africa,0,44,37,17,12,5,0,29750000.0,61,569.0,25.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Trinidad and Tobago,North America,0,99,95,32,30,11,0,10100000.0,47,604.0,24.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Tunisia,Africa,0,76,44,26,9,14,0,50600000.0,21,693.0,25.6,3,0,0,0,0,0,0.0,0.0,0.0,0.0
2006,Ukraine,Europe,0,46,30,15,9,16,0,266700000.0,45,609.0,26.6,0,0,0,0,0,0,0.0,0.0,0.0,1.0
2006,United States,North America,0,108,38,38,10,13,0,350700000.0,5,756.0,26.3,7,4,3,2,1,0,0.0,0.0,0.0,0.0
2018,Argentina,South America,0,95,40,27,8,12,2,678320000.0,5,1241.0,29.52,16,13,8,9,5,5,0.0,0.0,0.0,0.0
2018,Australia,Oceania,0,85,48,23,11,12,0,50210000.0,36,718.0,28.13,4,1,1,0,0,0,0.0,0.0,0.0,0.0
2018,Belgium,Europe,0,116,38,30,5,8,0,753250000.0,3,1298.0,27.59,12,8,7,2,1,0,0.0,0.0,1.0,1.0
2018,Brazil,South America,0,95,22,33,4,8,5,980020000.0,2,1430.0,28.6,20,18,10,14,10,6,0.0,0.0,0.0,1.0
2018,Colombia,South America,0,57,37,19,11,13,0,250850000.0,16,985.0,28.39,5,2,2,1,0,0,0.0,0.0,0.0,0.0
2018,Costa Rica,North America,0,70,59,21,15,13,0,39960000.0,23,884.0,29.78,4,2,2,1,0,0,0.0,0.0,0.0,0.0
2018,Croatia,Europe,0,78,29,25,8,10,0,363640000.0,20,945.0,27.9,4,1,1,1,1,0,0.0,1.0,1.0,1.0
2018,Denmark,Europe,0,61,36,17,11,12,0,259040000.0,12,1051.0,27.14,4,3,3,1,0,0,0.0,0.0,0.0,0.0
2018,Egypt,Africa,0,50,27,23,13,7,0,197030000.0,45,649.0,28.98,2,1,1,0,0,0,0.0,0.0,0.0,0.0
2018,England,Europe,0,79,28,29,5,10,1,873130000.0,12,1050.0,26.05,14,11,6,8,2,1,0.0,0.0,1.0,1.0
2018,France,Europe,0,96,45,33,8,8,1,1029470000.0,7,1198.0,26.03,14,8,6,7,5,2,1.0,1.0,1.0,1.0
2018,Germany,Europe,0,111,46,30,10,10,4,882120000.0,1,1558.0,27.14,18,18,10,16,13,8,0.0,0.0,0.0,0.0
2018,Iceland,Europe,0,85,64,24,18,9,0,75380000.0,22,908.0,28.58,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018,Iran,Asia,0,84,22,30,4,9,0,46750000.0,37,708.0,27.23,4,0,0,0,0,0,0.0,0.0,0.0,0.0
2018,Japan,Asia,0,107,50,28,12,11,0,75520000.0,61,520.0,28.58,5,2,2,0,0,0,0.0,0.0,0.0,0.0
2018,Mexico,North America,0,107,67,37,12,18,0,152150000.0,15,989.0,29.24,15,8,7,2,0,0,0.0,0.0,0.0,0.0
2018,Morocco,Africa,0,70,19,26,8,8,0,129330000.0,41,685.0,27.23,4,1,1,0,0,0,0.0,0.0,0.0,0.0
2018,Nigeria,Africa,0,48,33,16,11,10,0,134720000.0,48,617.0,25.96,5,3,3,0,0,0,0.0,0.0,0.0,0.0
2018,Panama,North America,0,58,62,17,18,17,0,6270000.0,55,571.0,28.87,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2018,Peru,South America,0,76,47,26,12,12,0,38480000.0,11,1125.0,27.44,4,2,0,1,0,0,0.0,0.0,0.0,0.0
2018,Poland,Europe,0,91,40,22,5,13,0,274280000.0,8,1182.0,28.31,7,5,2,2,2,0,0.0,0.0,0.0,0.0
2018,Portugal,Europe,0,100,36,33,10,9,0,494010000.0,4,1273.0,28.37,6,3,2,2,2,0,0.0,0.0,0.0,0.0
2018,Russia,Europe,1,65,54,15,16,11,0,161640000.0,70,456.0,28.84,3,0,0,0,0,0,0.0,0.0,0.0,1.0
2018,Saudi Arabia,Asia,0,97,66,25,18,8,0,18800000.0,67,465.0,28.73,4,1,1,0,0,0,0.0,0.0,0.0,0.0
2018,Senegal,Africa,0,70,25,27,5,13,0,299200000.0,27,837.0,26.99,1,1,1,1,0,0,0.0,0.0,0.0,0.0
2018,Serbia,Europe,0,55,45,16,13,8,0,283720000.0,34,750.0,26.76,11,7,2,5,2,0,0.0,0.0,0.0,0.0
2018,South Korea,Asia,0,92,51,33,14,11,0,87430000.0,57,543.0,27.79,9,2,2,1,1,0,0.0,0.0,0.0,0.0
2018,Spain,Europe,0,103,29,29,7,8,1,973030000.0,10,1125.0,28.49,14,9,7,5,1,1,0.0,0.0,0.0,0.0
2018,Sweden,Europe,0,71,40,20,13,15,0,119640000.0,24,879.0,28.24,11,8,4,4,3,1,0.0,0.0,0.0,1.0
2018,Switzerland,Europe,0,75,31,25,8,7,0,217880000.0,6,1198.0,27.18,10,6,5,3,0,0,0.0,0.0,0.0,0.0
2018,Tunisia,Africa,0,66,44,21,10,14,0,58820000.0,21,909.0,26.53,4,0,0,0,0,0,0.0,0.0,0.0,0.0
2018,Uruguay,South America,0,67,42,21,12,8,2,372630000.0,14,1018.0,28.13,12,9,4,5,4,1,0.0,0.0,0.0,1.0
2022,Argentina,South America,0,98,27,33,4,13,2,645200000.0,3,1773.88,27.8,17,14,9,9,5,5,1.0,1.0,1.0,1.0
2022,Australia,Oceania,0,69,19,21,6,6,0,38400000.0,38,1488.72,27.5,5,1,1,0,0,0,0.0,0.0,0.0,0.0
2022,Belgium,Europe,0,129,45,35,8,7,0,563200000.0,2,1816.71,27.8,13,9,8,3,2,0,0.0,0.0,0.0,0.0
2022,Brazil,South America,0,111,19,37,3,10,5,1140000000.0,1,1841.3,27.9,21,19,11,15,10,6,0.0,0.0,0.0,1.0
2022,Cameroon,Africa,0,52,30,19,8,16,0,155000000.0,43,1471.44,26.3,7,1,1,1,0,0,0.0,0.0,0.0,0.0
2022,Canada,North America,0,126,34,31,10,5,0,187300000.0,41,1475.0,26.9,1,0,0,0,0,0,0.0,0.0,0.0,0.0
2022,Costa Rica,North America,0,55,58,20,20,14,0,18750000.0,31,1503.59,27.2,5,2,2,1,0,0,0.0,0.0,0.0,0.0
2022,Croatia,Europe,0,82,64,24,14,11,0,377000000.0,12,1645.64,27.4,5,2,2,2,2,1,0.0,0.0,1.0,1.0
